internal_id,Award ID,Recipient Name,Award Amount,Description,Awarding Agency,Awarding Sub Agency,Period of Performance Start Date,Period of Performance Current End Date,NAICS Code,NAICS Description,PSC Code,awarding_agency_id,agency_slug,generated_internal_id,_searched_as,Company
298551029,FA860422FB068,SCIENCE APPLICATIONS INTERNATIONAL CORP,51116.8,VMWARE SERVICES/SUPPORT,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA860422FB068_9700_NNG15SC52B_8000,Science Applications International Corporation,SAIC
298613021,FA877317F0031,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,50346.0,IGF::CL::IGF CAETS 2 TASK ORDER 02 KC 46A PEGASUS,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA877317F0031_9700_FA877317D0003_9700,Science Applications International Corporation,SAIC
298561927,FA864920P0961,MOSAIC MICROSYSTEMS LLC,49973.0,GLASS-BASED MILLIMETER WAVE ANTENNA ARRAYS,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA864920P0961_9700_-NONE-_-NONE-,SAIC,SAIC
298562933,FA864921P1069,MOSAIC MICROSYSTEMS LLC,49966.0,RF OVER FIBER TRANSCEIVER WITH INTEGRATED PHOTONICS AND ULTRA-THIN GLASS INTERPOSERS.,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA864921P1069_9700_-NONE-_-NONE-,SAIC,SAIC
298562366,FA864921P0423,"MOSAIC ATM, INC.",49940.0,ARTIFICIAL INTELLIGENT SYSTEM FOR HUMAN HEALTH SUPPORT,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA864921P0423_9700_-NONE-_-NONE-,SAIC,SAIC
277796640,140G0222F0190,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",49526.1,HYDRA DEVELOPER,Department of the Interior,U.S. Geological Survey,,,,,,209.0,department-of-the-interior,CONT_AWD_140G0222F0190_1434_W52P1J18DA047_9700,SAIC,SAIC
348973611,W50S8520P0015,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,49365.36,JRE HELP DESK,Department of Defense,Department of the Army,,,,,,1173.0,department-of-defense,CONT_AWD_W50S8520P0015_9700_-NONE-_-NONE-,Science Applications International Corporation,SAIC
298562546,FA864921P0625,MOSAIC MICROSYSTEMS LLC,49072.0,"RESEARCH AND DEVELOPMENT OF A NOVEL, GLASS-BASED 3D INTEGRATION PLATFORM FOR MILLIMETER WAVE PHASED ARRAY ANTENNAS.",Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA864921P0625_9700_-NONE-_-NONE-,SAIC,SAIC
291071704,6973GH19F00783,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,47355.98,ITSS TASK 13 - OPM PROGRAM MANAGER&TECHNICAL WRITER FOR ESC,Department of Transportation,Federal Aviation Administration,,,,,,731.0,department-of-transportation,CONT_AWD_6973GH19F00783_6920_6973GH19D00031_6920,Science Applications International Corporation,SAIC
298484165,FA830721F0137,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,45787.0,MISSILE ENTRY ENCRYPTION DEVICE SPARE DRAWINGS UPDATE,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA830721F0137_9700_FA830720D0001_9700,Science Applications International Corporation,SAIC
349627579,W9124P25P0049,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,45552.0,"15206-25 JRE HELP DESK, YEAR 2025-7/24",Department of Defense,Department of the Army,,,,,,1173.0,department-of-defense,CONT_AWD_W9124P25P0049_9700_-NONE-_-NONE-,Science Applications International Corporation,SAIC
275107814,0200,ENGILITY LLC,45340.91,LOT IV - THIRD OPTION YEAR CPFF,Department of Defense,Department of the Navy,,,,,,1173.0,department-of-defense,CONT_AWD_0200_9700_N6523608D5802_9700,Science Applications International Corporation,SAIC
